,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
60,Emmanuel Sanders\SandEm00,WR,30,2017,NFL,DEN,12,5,7,0,67.50,114.5,117.5,91.0,0,0,0,0,0,0,0,0,47,555,2,0,,,,
61,Will Fuller\FullWi01,WR,23,2017,NFL,HTX,10,2,8,0,85.20,113.2,116.2,99.2,0,0,0,0,0,2,9,0,28,423,7,0,,,,
62,Terrance Williams\WillTe01,WR,28,2017,NFL,DAL,16,9,7,0,58.30,111.3,114.3,84.8,0,0,0,0,0,2,15,0,53,568,0,0,,,,
63,Chris Hogan\HogaCh00,WR,29,2017,NFL,NWE,9,6,3,0,75.60,109.6,109.6,92.6,0,0,0,0,0,3,17,0,34,439,5,0,,,,
64,Deonte Thompson\ThomDe04,WR,28,2017,NFL,TOT,16,7,9,0,67.00,105.0,108.0,86.0,0,0,0,0,0,2,-5,0,38,555,2,1,,,,
65,Jaron Brown\BrowJa03,WR,27,2017,NFL,CRD,16,8,8,0,71.70,102.7,105.7,87.2,0,0,0,0,0,0,0,0,31,477,4,0,,,,
66,Jeremy Maclin\MaclJe00,WR,29,2017,NFL,RAV,12,8,4,0,62.00,102.0,102.0,82.0,0,0,0,0,0,0,0,0,40,440,3,0,,,,
67,Allen Hurns\HurnAl01,WR,25,2017,NFL,JAX,10,6,4,0,60.40,99.4,102.4,79.9,0,0,0,0,0,0,0,0,39,484,2,0,,,,
68,Trent Taylor\TaylTr02,WR,23,2017,NFL,SFO,15,5,10,0,53.00,96.0,97.0,74.5,0,0,0,0,0,0,0,0,43,430,2,1,,,,
69,Kenny Golladay\GollKe00,WR,23,2017,NFL,DET,11,7,4,0,66.60,94.6,94.6,80.6,0,0,0,0,0,1,9,0,28,477,3,0,,,,
70,JJ Nelson\NelsJJ00,WR,25,2017,NFL,CRD,16,8,8,0,64.50,93.5,97.5,79.0,0,0,0,0,0,3,37,0,29,508,2,1,,,,
71,Chris Godwin\GodwCh00,WR,21,2017,NFL,TAM,16,5,11,0,58.50,92.5,95.5,75.5,0,0,0,0,0,0,0,0,34,525,1,0,,,,
72,Cole Beasley\BeasCo00,WR,28,2017,NFL,DAL,15,8,7,0,55.40,91.4,91.4,73.4,0,0,0,0,0,0,0,0,36,314,4,0,,,,
73,Torrey Smith\SmitTo02,WR,28,2017,NFL,PHI,16,13,3,0,54.70,90.7,93.7,72.7,0,0,0,0,0,1,-3,0,36,430,2,0,,,,
74,Seth Roberts\RobeSe00,WR,26,2017,NFL,RAI,15,6,9,0,47.50,90.5,92.5,69.0,0,0,0,0,0,0,0,0,43,455,1,2,,,,
75,Pierre Garcon\GarcPi00,WR,31,2017,NFL,SFO,8,0,8,0,50.00,90.0,93.0,70.0,0,0,0,0,0,0,0,0,40,500,0,0,,,,
76,Roger Lewis\LewiRo03,WR,23,2017,NFL,NYG,15,2,13,0,53.60,89.6,89.6,71.6,0,0,0,0,0,0,0,0,36,416,2,0,,,,
77,Cordarrelle Patterson\PattCo00,WR,26,2017,NFL,RAI,16,6,10,0,55.00,86.0,86.0,70.5,0,0,0,0,0,13,121,2,31,309,0,3,,,,
78,Bennie Fowler\FowlBe00,WR,26,2017,NFL,DEN,16,5,11,0,53.00,82.0,82.0,67.5,0,0,0,0,0,0,0,0,29,350,3,1,,,,
79,Taylor Gabriel\GabrTa00,WR,26,2017,NFL,ATL,16,10,6,0,49.00,81.7,81.7,65.2,0,0,0,0,0,8,49,0,33,378,1,0,,,,
