,,,,,,,,,,Misc,Misc,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,
Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,College/Univ,
60,2018,3,86,Mark Andrews\AndrMa00,TE,22,BAL,2018,2019,0,1,0,17,31,7,,,,,,,,,,98,1404,13,Oklahoma,College Stats
61,2018,3,91,Tre'Quan Smith\SmitTr03,WR,22,NOR,2018,2019,0,0,2,7,26,13,,,,,,,,,,46,661,10,Central Florida,College Stats
62,2018,3,98,Jordan Akins\AkinJo00,TE,26,HOU,2018,2019,0,0,1,6,32,15,,,,,,,,,,53,643,2,Central Florida,College Stats
63,2017,1,2,Mitchell Trubisky\TrubMi00,QB,23,CHI,2017,2019,0,1,3,27,41,41,23-18-0,811,1280,8554,48,29,157,862,7,,,,North Carolina,College Stats
64,2017,1,4,Leonard Fournette\FourLe00,RB,22,JAX,2017,2019,0,0,3,20,36,36,,,,,,,666,2631,17,134,1009,2,LSU,College Stats
65,2017,1,5,Corey Davis\DaviCo03,WR,22,TEN,2017,2019,0,0,3,14,42,36,,,,,,,6,55,0,142,1867,6,West. Michigan,College Stats
66,2017,1,7,Mike Williams\WillMi07,WR,22,LAC,2017,2019,0,0,1,15,41,21,,,,,,,8,30,1,103,1760,12,Clemson,College Stats
67,2017,1,8,Christian McCaffrey\McCaCh01,RB,21,CAR,2017,2019,1,1,3,38,48,42,,1,3,50,1,0,623,2920,24,303,2523,15,Stanford,College Stats
68,2017,1,9,John Ross\RossJo00,WR,22,CIN,2017,2019,0,0,1,5,24,19,,,,,,,8,25,0,49,716,10,Washington,College Stats
69,2017,1,10,Patrick Mahomes\MahoPa00,QB,21,KAN,2017,2019,1,2,2,39,31,31,24-7-0,724,1099,9412,76,18,110,500,4,,,,Texas Tech,College Stats
70,2017,1,12,Deshaun Watson\WatsDe00,QB,21,HOU,2017,2019,0,2,2,38,38,37,24-13-0,804,1204,9716,71,29,217,1233,14,1,6,1,Clemson,College Stats
71,2017,1,19,O.J. Howard\HowaO.00,TE,22,TAM,2017,2019,0,0,3,11,38,36,,,,,,,,,,94,1456,12,Alabama,College Stats
72,2017,1,23,Evan Engram\EngrEv00,TE,23,NYG,2017,2019,0,0,3,13,34,25,,,,,,,7,57,0,153,1766,12,Mississippi,College Stats
73,2017,1,29,David Njoku\NjokDa00,TE,21,CLE,2017,2019,0,0,1,7,36,20,,,,,,,1,1,0,93,1066,9,Miami (FL),College Stats
74,2017,2,37,Zay Jones\JoneZa00,WR,22,BUF,2017,2019,0,0,2,10,46,34,,0,1,0,0,0,2,3,0,110,1184,9,East Carolina,College Stats
75,2017,2,40,Curtis Samuel\SamuCu00,WR,21,CAR,2017,2019,0,0,2,12,38,27,,,,,,,31,278,3,108,1236,11,Ohio St.,College Stats
76,2017,2,41,Dalvin Cook\CookDa01,RB,22,MIN,2017,2019,0,1,2,23,29,28,,,,,,,457,2104,17,104,914,2,Florida St.,College Stats
77,2017,2,44,Gerald Everett\EverGe00,TE,23,LAR,2017,2019,0,0,0,9,45,4,,,,,,,4,29,0,86,972,7,South Alabama,College Stats
78,2017,2,45,Adam Shaheen\ShahAd00,TE,22,CHI,2017,2019,0,0,1,2,27,13,,,,,,,,,,26,249,4,Ashland,
79,2017,2,48,Joe Mixon\MixoJo00,RB,21,CIN,2017,2019,0,0,2,24,44,35,,,,,,,693,2931,17,108,870,4,Oklahoma,College Stats
80,2017,2,52,DeShone Kizer\KizeDe00,QB,21,CLE,2017,2018,0,0,1,6,18,15,0-15-0,275,518,3081,11,24,82,458,5,,,,Notre Dame,College Stats
81,2017,2,62,JuJu Smith-Schuster\SmitJu00,WR,20,PIT,2017,2019,0,1,2,24,42,32,,,,,,,1,13,0,211,2895,17,USC,College Stats
82,2017,3,67,Alvin Kamara\KamaAl00,RB,22,NOR,2017,2019,0,3,2,41,45,25,,1,1,13,0,0,485,2408,27,243,2068,10,Tennessee,College Stats
