,,,,,,,,,,,Fantasy,Fantasy,Fantasy,Fantasy,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,Scoring,Scoring,Scoring,Scoring
Rk,Player,Pos,Age,Year,Lg,Tm,G,W,L,T,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
49,Gavin Escobar\EscoGa00,TE,23,2014,NFL,DAL,16,12,4,0,34.50,43.5,43.5,39.0,0,0,0,0,0,0,0,0,9,105,4,0,,,,
50,Cooper Helfet\HelfCo00,TE,25,2014,,SEA,10,7,3,0,30.50,42.5,42.5,36.5,0,0,0,0,0,0,0,0,12,185,2,0,,,,
51,Jack Doyle\DoylJa00,TE,24,2014,,CLT,16,11,5,0,23.80,41.8,41.8,32.8,0,0,0,0,0,0,0,0,18,118,2,0,,,,
52,Ladarius Green\GreeLa00,TE,24,2014,NFL,SDG,14,8,6,0,22.60,41.6,41.6,32.1,0,0,0,0,0,0,0,0,19,226,0,0,,,,
53,Brandon Myers\MyerBr00,TE,29,2014,NFL,TAM,14,2,12,0,19.00,41.0,41.0,30.0,0,0,0,0,0,0,0,0,22,190,0,0,,,,
54,Jacob Tamme\TammJa00,TE,29,2014,NFL,DEN,15,11,4,0,21.00,34.9,35.9,27.9,0,0,0,0,0,0,0,0,14,109,2,1,,,,
55,Gary Barnidge\BarnGa01,TE,28,2014,NFL,CLE,13,7,6,0,15.60,28.6,28.6,22.1,0,0,0,0,0,0,0,0,13,156,0,0,,,,
56,Dennis Pitta\PittDe00,TE,29,2014,NFL,RAV,3,2,1,0,12.50,28.5,28.5,20.5,0,0,0,0,0,0,0,0,16,125,0,0,,,,
57,Crockett Gillmore\GillCr00,TE,22,2014,,RAV,15,9,6,0,18.10,28.1,28.1,23.1,0,0,0,0,0,0,0,0,10,121,1,0,,,,
58,Dante Rosario\RosaDa00,TE,29,2014,NFL,CHI,16,5,11,0,11.60,27.6,28.6,19.6,0,0,0,0,0,0,0,0,16,116,0,1,,,,
59,Ed Dickson\DickEd00,TE,27,2014,,CAR,16,7,8,1,17.50,27.5,27.5,22.5,0,0,0,0,0,0,0,0,10,115,1,1,,,,
60,Tony Moeaki\MoeaTo00,TE,27,2014,NFL,SEA,6,5,1,0,19.40,27.4,27.4,23.4,0,0,0,0,0,0,0,0,8,134,1,0,,,,
61,Ryan Griffin\GrifRy00,TE,24,2014,NFL,HTX,16,9,7,0,15.10,25.1,25.1,20.1,0,0,0,0,0,0,0,0,10,91,1,0,,,,
62,Logan Paulsen\PaulLo00,WR,27,2014,NFL,WAS,16,4,12,0,11.80,24.8,25.8,18.3,0,0,0,0,0,0,0,0,13,78,1,1,,,,
63,MarQueis Gray\GrayMa00,TE,25,2014,NFL,TOT,13,6,7,0,13.40,22.4,22.4,17.9,0,0,0,0,0,0,0,0,9,134,0,0,,,,
64,Rob Housler\HousRo01,TE,26,2014,NFL,CRD,15,10,5,0,13.00,22.0,22.0,17.5,0,0,0,0,0,1,1,0,9,129,0,1,,,,
